Name,Description,Price,Image URLs
Supreme®/Dr. Martens® 1461 3-Eye Shoe,"Smooth leather upper with topcoat that reveals color with wear. AirWair® cushion sole, printed logos on insole and debossed logo at heel. Made exclusively for Supreme.",$188,"['https://us.supreme.com/cdn/shop/files/SNE3_SS24_Dr.Martens3EyeShoe_Multicolor05_720x.jpg?v=1710770386', 'https://us.supreme.com/cdn/shop/files/SNE3_SS24_Dr.Martens3EyeShoe_Black01_720x.jpg?v=1710770363']"
GORE-TEX Taped Seam Shell Jacket,"Waterproof, breathable GORE-TEX poly 3-layer shell with taped seams and tricot backing. Waterproof full zip closure with waterproof zip pockets at lower front and chest. Interior zip and pouch pockets. Interior elastic shockcord at fixed hood and hem with velcro tab adjusters at cuffs. Embroidered logos on hood, neck guard and cuffs with printed logo on sleeve.",$398,"['https://us.supreme.com/cdn/shop/files/J12_SS24_Gore-TexKermitJacket_Orange02.2_720x.jpg?v=1710513498', 'https://us.supreme.com/cdn/shop/files/J12_SS24_Gore-TexKermitJacket_Black02.2_720x.jpg?v=1710513438', 'https://us.supreme.com/cdn/shop/files/J12_SS24_Gore-TexKermitJacket_Purple02.2_720x.jpg?v=1710940902']"
RealTree® Reversible Quilted Work Jacket,All cotton twill with 3M® Thinsulate™ insulation. Full zip closure with snap placket. Welt hand pockets at lower front with knit rib cuffs. Embroidered logo patch on chest. RealTree® Camo quilted reverse side with patch pockets at lower front.,$248,"['https://us.supreme.com/cdn/shop/files/J18_SS24_ReversibleRealTreeJacket_TimberWhiteCamo04_Reshoot_720x.jpg?v=1710772203', 'https://us.supreme.com/cdn/shop/files/J18_SS24_ReversibleRealTreeJacket_Black04_720x.jpg?v=1710772232']"
Micro Down Jacket,Water resistant Pertex® recycled nylon with down filled quilted baffles and nylon lining. Full zip closure with zip hand pockets at lower front and interior zip pocket. Interior elastic shockcord at hem with elastic binding at cuffs. Embroidered logo patch on chest. Packable into interior pouch.,$248,"['https://us.supreme.com/cdn/shop/files/J17_SS24_MicroDownFullZip_Royal02_720x.jpg?v=1709909604', 'https://us.supreme.com/cdn/shop/files/J17_SS24_MicroDownFullZip_Olive02_720x.jpg?v=1709909632', 'https://us.supreme.com/cdn/shop/files/J17_SS24_MicroDownFullZip_Black02_720x.jpg?v=1709909544', 'https://us.supreme.com/cdn/shop/files/J17_SS24_MicroDownFullZip_White02_720x.jpg?v=1709909569']"
Inset Link Track Jacket,"Water resistant Supplex® nylon taslan with inset pattern, mesh and taffeta lining. Full zip closure with welt zip hand pockets at lower front and interior chest pocket. Elastic cuffs and hem. Embroidered logo on chest and logo appliqué at back.",$178,[]
Muppets Fleece Jacket,"Polar fleece with printed graphic and full zip closure. Zip hand pockets at lower front and zip chest pocket. Elastic binding at collar, cuffs and hem.",$328,['https://us.supreme.com/cdn/shop/files/J62_SS24_MuppetsPrintedFleece_MultiColor01_720x.jpg?v=1710944398']
Confetti Cardigan,Acrylic blend with metallic yarn. Button front closure with hand pockets at lower front. Embroidered logo on left pocket.,$178,"['https://us.supreme.com/cdn/shop/files/SK4_SS24_ConfettiCardigan_Brown_720x.jpg?v=1710253511', 'https://us.supreme.com/cdn/shop/files/SK4_SS24_ConfettiCardigan_SlateBlue_720x.jpg?v=1710253492', 'https://us.supreme.com/cdn/shop/files/SK4_SS24_ConfettiCardigan_Black_720x.jpg?v=1709911066']"
Bouclé Small Box Sweater,All cotton bouclé with embroidered logo patch on chest.,$148,"['https://us.supreme.com/cdn/shop/files/SK17_SS24_BoucleSmallBoxCrewneck_Purple_720x.jpg?v=1710515101', 'https://us.supreme.com/cdn/shop/files/SK17_SS24_BoucleSmallBoxCrewneck_Red_720x.jpg?v=1710514939', 'https://us.supreme.com/cdn/shop/files/SK17_SS24_BoucleSmallBoxCrewneck_Black_720x.jpg?v=1710515035', 'https://us.supreme.com/cdn/shop/files/SK17_SS24_BoucleSmallBoxCrewneck_Navy_720x.jpg?v=1710515018', 'https://us.supreme.com/cdn/shop/files/SK17_SS24_BoucleSmallBoxCrewneck_BrightLime_720x.jpg?v=1710515003']"
Plaid Flannel Shirt,All cotton flannel with button down collar. Embroidered logo on single chest pocket.,$138,"['https://us.supreme.com/cdn/shop/files/S4_SS24_PlaidFlannelShirt_Tan_720x.jpg?v=1710513776', 'https://us.supreme.com/cdn/shop/files/S4_SS24_PlaidFlannelShirt_Black_720x.jpg?v=1710513749', 'https://us.supreme.com/cdn/shop/files/S4_SS24_PlaidFlannelShirt_Blue_720x.jpg?v=1710513862']"
Snake S/S Shirt,Viscose with single chest pocket.,$148,"['https://us.supreme.com/cdn/shop/files/S28_SS24_SnakeShirt_Olive02_720x.jpg?v=1710514050', 'https://us.supreme.com/cdn/shop/files/S28_SS24_SnakeShirt_White02_720x.jpg?v=1710514066', 'https://us.supreme.com/cdn/shop/files/S28_SS24_SnakeShirt_Pink02_720x.jpg?v=1710514092']"
Futura Hooded Sweatshirt,Brushed-back fleece with rib gussets and pouch pocket. Embroidered logo on chest and embroidered graphic on hood. Original artwork by Futura.,$158,"['https://us.supreme.com/cdn/shop/files/SW50_SS24_FurturaHoodedSweatshirt_Black_720x.jpg?v=1710514488', 'https://us.supreme.com/cdn/shop/files/SW50_SS24_FurturaHoodedSweatshirt_Violet_720x.jpg?v=1710514621', 'https://us.supreme.com/cdn/shop/files/SW50_SS24_FurturaHoodedSweatshirt_AshGrey_720x.jpg?v=1710514397', 'https://us.supreme.com/cdn/shop/files/SW50_SS24_FurturaHoodedSweatshirt_BrightOrange_720x.jpg?v=1710514533', 'https://us.supreme.com/cdn/shop/files/SW50_SS24_FurturaHoodedSweatshirt_DarkOlive_720x.jpg?v=1710514501']"
$ Hooded Sweatshirt,Brushed-back fleece with pouch pocket. Tackle twill graphic appliqué at chest and embroidered logo on hood.,$158,"['https://us.supreme.com/cdn/shop/files/SW58_SS24_UsdHoodedSweatshirt_Red_720x.jpg?v=1709910936', 'https://us.supreme.com/cdn/shop/files/SW58_SS24_UsdHoodedSweatshirt_LtPurple_720x.jpg?v=1709910825', 'https://us.supreme.com/cdn/shop/files/SW58_SS24_UsdHoodedSweatshirt_HeatherGrey_720x.jpg?v=1709910960', 'https://us.supreme.com/cdn/shop/files/SW58_SS24_UsdHoodedSweatshirt_Black_720x.jpg?v=1709910923', 'https://us.supreme.com/cdn/shop/files/SW58_SS24_UsdHoodedSweatshirt_Gold_720x.jpg?v=1709910976', 'https://us.supreme.com/cdn/shop/files/SW58_SS24_UsdHoodedSweatshirt_Navy_720x.jpg?v=1709910911', 'https://us.supreme.com/cdn/shop/files/SW58_SS24_UsdHoodedSweatshirt_DesertCamo_720x.jpg?v=1709910894']"
Pinstripe Crewneck,Brushed-back fleece with rib gussets. Embroidered logo on chest.,$148,"['https://us.supreme.com/cdn/shop/files/SW41_SS24_PinstripeCrewneck_HeatherGreyPinstripe_720x.jpg?v=1710514700', 'https://us.supreme.com/cdn/shop/files/SW41_SS24_PinstripeCrewneck_OldNavyPinstripe_720x.jpg?v=1710514787', 'https://us.supreme.com/cdn/shop/files/SW41_SS24_PinstripeCrewneck_PinkPinstripe_720x.jpg?v=1710514768']"
Gradient Hooded Sweatshirt,Brushed-back fleece with pouch pocket. Printed logo on chest.,$158,"['https://us.supreme.com/cdn/shop/files/SW42_SS24_SabotageHoodedSweatshirt_Royal_720x.jpg?v=1709910551', 'https://us.supreme.com/cdn/shop/files/SW42_SS24_SabotageHoodedSweatshirt_HeatherGrey_720x.jpg?v=1710253394', 'https://us.supreme.com/cdn/shop/files/SW42_SS24_SabotageHoodedSweatshirt_Brown_720x.jpg?v=1709910462', 'https://us.supreme.com/cdn/shop/files/SW42_SS24_SabotageHoodedSweatshirt_LightPink_720x.jpg?v=1709910063', 'https://us.supreme.com/cdn/shop/files/SW42_SS24_SabotageHoodedSweatshirt_Black_720x.jpg?v=1709910070']"
Hooded Zip Up Thermal,All cotton waffle thermal with full zip closure and pouch pocket. Woven logo label at pocket.,$128,"['https://us.supreme.com/cdn/shop/files/KN12_SS24_ThermalZipTop_WoodlandCamo_720x.jpg?v=1710515459', 'https://us.supreme.com/cdn/shop/files/KN12_SS24_ThermalZipTop_PinkCamo_720x.jpg?v=1710515429', 'https://us.supreme.com/cdn/shop/files/KN12_SS24_ThermalZipTop_Black_720x.jpg?v=1710515413', 'https://us.supreme.com/cdn/shop/files/KN12_SS24_ThermalZipTop_Natural_720x.jpg?v=1710515389']"
